entri,entri_id,pola,basis_kandidat,basis_id,basis_jenis,sufiks,indeks_basis,makna_snippet
"lela (1)",21627,"R.purwa","la",20743,"dasar","","la","gerak-gerik tangan dsb. yang elok; tingkah laku atau gerak-gerik yang elok (indah, menyenangkan, dsb.) | tingkah; ragam"
"lela (1)",21627,"-el-","la",20743,"dasar","","la","gerak-gerik tangan dsb. yang elok; tingkah laku atau gerak-gerik yang elok (indah, menyenangkan, dsb.) | tingkah; ragam"
"lelah (2)",21633,"R.purwa","lah",20833,"dasar","","lah","melelah"
"lelah (2)",21633,"-el-","lah",20833,"dasar","","lah","melelah"
"lelai",21634,"R.purwa","lai",20848,"dasar","","lai","melelai"
"lelai",21634,"-el-","lai",20848,"dasar","","lai","melelai"
"lelai",21634,"R.purwa","la",20743,"dasar","-i","la","melelai"
"lelai",21634,"-el-","la",20743,"dasar","-i","la","melelai"
"lelaki",21636,"R.purwa","laki",20883,"dasar","","laki","laki-laki"
"lelaki",21636,"-el-","laki",20883,"dasar","","laki","laki-laki"
"lelaki",21636,"R.purwa","lak",20873,"dasar","-i","lak","laki-laki"
"lelaki",21636,"-el-","lak",20873,"dasar","-i","lak","laki-laki"
"lelang",21639,"R.purwa","lang",21070,"dasar","","lang","penjualan di hadapan orang banyak (dengan tawaran yang atas-mengatasi) dipimpin oleh pejabat lelang"
"lelang",21639,"-el-","lang",21070,"dasar","","lang","penjualan di hadapan orang banyak (dengan tawaran yang atas-mengatasi) dipimpin oleh pejabat lelang"
"lelap",21643,"R.purwa","lap",21234,"dasar","","lap","nyenyak (tidur); tidak sadarkan diri | hilang; lenyap | lalu tidak boleh ditebus (tentang gadaian) | beku (tentang minya"
"lelap",21643,"-el-","lap",21234,"dasar","","lap","nyenyak (tidur); tidak sadarkan diri | hilang; lenyap | lalu tidak boleh ditebus (tentang gadaian) | beku (tentang minya"
"leluhur",21664,"R.purwa","luhur",22689,"dasar","","luhur","nenek moyang (yang diluhurkan)"
"leluhur",21664,"-el-","luhur",22689,"dasar","","luhur","nenek moyang (yang diluhurkan)"
"leluing (1)",21665,"R.purwa","luing",22692,"dasar","","luing","pohon, tinggi hingga 17 m dan garis tengah 40 cm, getahnya digunakan sebagai obat luar seperti luka pada telapak kaki, b"
"leluing (1)",21665,"-el-","luing",22692,"dasar","","luing","pohon, tinggi hingga 17 m dan garis tengah 40 cm, getahnya digunakan sebagai obat luar seperti luka pada telapak kaki, b"
"lema",21671,"-em-","la",20743,"dasar","","la","kata atau frasa masukan dalam kamus di luar definisi atau penjelasan lain yang diberikan dalam entri | butir masukan; en"
"lines",22271,"-in-","les",21971,"dasar","","les","lesbian"
